location,year,category,rank,query
India,2023,Fitness,82,Martial Arts
India,2023,Entertainment,48,Indie Films
France,2022,Technology,75,Space Exploration
France,2023,Travel,48,Skiing Destinations
France,2023,Food,60,Organic Wineries
France,2022,Fitness,80,Synchronized Swimming
France,2023,Entertainment,80,Street Performances
Brazil,2023,Technology,65,Nanotechnology
Brazil,2023,Travel,42,Surf Camps
Brazil,2021,Food,55,Regional Cuisines
Brazil,2023,Fitness,75,CrossFit Competitions
Brazil,2023,Entertainment,75,Samba Festivals
Japan,2023,Technology,78,Robotics Innovation
Japan,2023,Travel,55,Hot Springs Experience
Japan,2021,Food,62,Sushi Making Classes
Japan,2023,Fitness,80,Kendo Workshops
Japan,2022,Entertainment,72,Anime Conventions
South Korea,2023,Technology,72,K-Pop VR Experiences
South Korea,2023,Travel,50,Island Retreats
South Korea,2023,Food,58,Korean BBQ Nights
South Korea,2022,Fitness,78,Taekwondo Training
South Korea,2023,Entertainment,78,K-Drama Marathons
China,2023,Technology,68,Artificial Intelligence in Education
China,2023,Travel,45,Great Wall Hiking
China,2023,Food,55,Dim Sum Culinary Tours
China,2023,Fitness,75,Traditional Chinese Martial Arts
China,2023,Entertainment,55,Traditional Opera Performances
Russia,2023,Technology,70,Space Exploration
Russia,2023,Travel,48,Trans-Siberian Railway Journeys
Russia,2023,Food,60,Russian Dumpling Making
Russia,2023,Fitness,80,Ice Skating
Russia,2023,Entertainment,70,Ballet Performances
Mexico,2020,Technology,75,Mayan Archaeology Expeditions
Mexico,2023,Travel,52,Beachfront Resorts
Mexico,2023,Food,65,Authentic Mexican Cooking
Mexico,2022,Fitness,88,Lucha Libre Wrestling Classes
Mexico,2023,Entertainment,72,Mariachi Festivals
Italy,2023,Technology,72,Artificial Intelligence in Art
Italy,2023,Travel,50,Amalfi Coast Exploration
Italy,2022,Food,58,Authentic Pizza Making
Italy,2023,Fitness,78,Cycling Tours
Italy,2023,Entertainment,75,Opera Nights
Spain,2023,Technology,68,Sustainable Technology Solutions
Spain,2023,Travel,45,Historical City Walking Tours
Spain,2023,Food,55,Paella Cooking Classes
Spain,2023,Fitness,75,Flamenco Dance Workshops
Spain,2023,Entertainment,55,Tapas and Flamenco Evenings
Netherlands,2023,Technology,75,Innovation in Renewable Energy
Netherlands,2023,Travel,52,Cycling Holidays
Netherlands,2023,Food,65,Dutch Cheese Tasting
Netherlands,2023,Fitness,88,Windmill Yoga Retreats
Netherlands,2023,Entertainment,62,Electronic Dance Music Festivals
Sweden,2023,Technology,70,Smart Transportation Solutions
Sweden,2023,Travel,48,Arctic Circle Adventures
Sweden,2023,Food,60,Swedish Fika Experience
Sweden,2023,Fitness,82,Ice Climbing Expeditions
Sweden,2023,Entertainment,58,Midsummer Music Festivals
Norway,2023,Technology,75,Green Technology Initiatives
Norway,2023,Travel,50,Fjord Cruises
Norway,2023,Food,58,Traditional Norwegian Cooking
Norway,2023,Fitness,78,Cross-Country Skiing
Norway,2023,Entertainment,45,Norwegian Folk Music Festivals
Switzerland,2023,Technology,72,Swiss Precision Engineering
Switzerland,2023,Travel,52,Ski Resorts and Swiss Chocolate
Switzerland,2023,Food,65,Fondue Nights
Switzerland,2023,Fitness,88,Mountain Biking Trails
Switzerland,2023,Entertainment,62,Jazz Festivals in Montreux
Austria,2023,Technology,68,Innovations in Green Energy
Austria,2023,Travel,45,Alps Hiking and Wellness Retreats
Austria,2023,Food,55,Austrian Wine Tasting
Austria,2023,Fitness,75,Yodeling Workshops
Austria,2023,Entertainment,75,Classical Music Concerts in Vienna
Greece,2023,Technology,65,Technology and Ancient History Tours
Greece,2023,Travel,42,Island-Hopping Adventures
Greece,2023,Food,55,Mediterranean Diet Cooking Classes
Greece,2023,Fitness,75,Olympic-Inspired Workouts
Greece,2023,Entertainment,45,Greek Mythology Theater Performances
Turkey,2023,Technology,78,Innovations in Turkish Cuisine
Turkey,2023,Travel,55,Cappadocia Hot Air Balloon Tours
Turkey,2023,Food,62,Turkish Delight Making Classes
Turkey,2023,Fitness,80,Bosphorus Swim Challenges
Turkey,2023,Entertainment,62,Whirling Dervish Performances

Pakistan,2016,Technology,80,Cricket score
Pakistan,2016,Technology,75,PSL schedule 2016
Pakistan,2016,Entertainment,70,PTV Sports Live
Pakistan,2018,Entertainment,75,Euro 2016
Pakistan,2018,Entertainment,70,PAK vs ENG
Greece,2020,Technology,76,Πάσχα
Greece,2020,Technology,80,Αγίου Βαλεντίνου
Greece,2021,Technology,50,Πανελλήνιες
Greece,2021,Technology,76,Κορωνοϊός
Greece,2022,Food,80,Πού έγινε σεισμός
Greece,2022,Food,85,Πού εντοπίζονται σήμερα κρούσματα
Greece,2022,Travel,50,Πού στέλνω μήνυμα για μετακίνηση
Greece,2022,Travel,65,"Πού παίζονται τα ""Παράσιτα"""
Greece,2022,Travel,53,Πότε ανοίγουν τα σχολεία
Greece,2022,Travel,70,Πότε ανοίγουν τα μαγαζιά

